date,city,visa_center,history,raw_history,limit,raw_limit
28 янв 2021,Москва,ВЦ Визаметрик,Полугодовые,виза Германии на пол года,Год и больше,1 год
09 мар 2021,Екатеринбург,ВЦ Визаметрик,Годовые и больше,Годовые чешская и две немецкие,Год и больше,3 года
26 мар 2021,Москва,ВЦ Визаметрик,Годовые и больше,"Испания, 1 год",Год и больше,3 года
19 май 2021,Москва,Визаметрик,Полугодовые,"Чехия полгода, Германия год.",Год и больше,1 год
22 май 2021,Москва,Визаметрик,Нет,Не было виз,Меньше полугода,3 месяца
22 май 2021,Москва,Визаметрик,Меньше полугода,"05(пт), готово было 18.05(вт))4. Германия 3 месяца",Год и больше,1 год
10 июн 2021,Москва,ВЦ Визаметрик,Годовые и больше,"Германия на месяц, год.",Год и больше,Год
23 июн 2021,Калининград,Консульство Германии в Калининграде,Полугодовые,Была польская двухгодичная и много польских до этого,Год и больше,2 года как и просила
11 авг 2021,Москва,ВЦ Визаметрик,Меньше полугода,Германия 3 месяца,Год и больше,Год
27 авг 2021,Москва,ВЦ на Киевской,Годовые и больше,"До этого была 3х летная, немецкая, гостевая.",Год и больше,Дали на 5 лет ( как и просил)
30 авг 2021,Москва,Визаметрик,Нет,Не было виз,Меньше полугода,3 месяца
03 сен 2021,Москва,ВЦ Визаметрик,Полугодовые,"Виза Германия на 3 месяца в пандемию, неиспользованная",Год и больше,1 год (просила на 1 год)
19 сен 2021,Москва,Визаметрик,Годовые и больше,"09.214. Германия, 2-х летняя, гостевая",Год и больше,5 лет
29 сен 2021,Москва,Визаметрик,Полугодовые,Польская рабочая,Год и больше,1 год
18 окт 2021,Новосибирск,Визаметрик,"14_Не пон_08.2021 запросили доп. документы*, оправила, 0","08.2021 запросили доп. документы*, оправила, 0",Даты поездки,На срок поездки
15 ноя 2021,Москва,VisaMetric,Годовые и больше,Испанская виза на 1 год,Год и больше,3 месяца (просила на 1 год)
24 ноя 2021,Москва,Визаметрик,Годовые и больше,"Франция, 5 лет",Год и больше,5 лет
24 ноя 2021,Москва,ВЦ,Годовые и больше,"Италия 2 года, 3 года",Год и больше,1 год ( просил 5 лет)
03 янв 2022,Москва,ВЦ Визаметрик,Годовые и больше,"Германия, 1 год",Год и больше,2 года
24 янв 2022,Москва,ВЦ Визаметрик,Годовые и больше,"Германия, 3 года",Год и больше,"5 лет, как и просила"
16 мар 2022,Москва,ВЦ Визаметрик,Годовые и больше,Трехлетняя виза Германии,Год и больше,3 года
24 мар 2022,Санкт-Петербург,ВЦ Визаметрик,Полугодовые,"Год финская, полгода итальянская в аннулированном паспорте",Меньше полугода,3 месяца в чистый паспорт
27 мар 2022,Москва,ВЦ Визаметрик,Полугодовые,Полгода итальянская в старом паспорте,Отказ,Отказ по пунктам 2;8
30 мар 2022,Москва,ВЦ,Полугодовые,"Виза С Германия полгода, .Виза С германия год, Виза С Латвия полгода",Год и больше,2 года
06 апр 2022,Москва,ВЦ,Годовые и больше,"Я и муж - двухлетние немецкие, у ребенка годовая немецкая",Отказ,"Мне - 5 лет, мужу - 1 год, ребенку - отказ"
21 апр 2022,Стамбул,Вц,Меньше полугода,"Шенген франции на 6 месяцев и туристическая виза в Болгарию. Но вообще подавала свой старый паспорт, в котором было порядка 5 шенгенов и 1 британская виза",Год и больше,1 год
26 апр 2022,Москва,ВЦ,Годовые и больше,"Германия (под сроки), Греция (под сроки), годовые от Греции и Чехии, Греция (3 года), Греция (2 года, закончилась в сентябре 21 г.)",Год и больше,5 лет (новый паспорт)
29 апр 2022,Москва,ВЦ Визаметрик,Годовые и больше,"Германия, 5 лет",Год и больше,5 лет
11 май 2022,Москва,ВЦ Визаметрик,Годовые и больше,"Франция,5 лет.",Год и больше,5 лет
12 май 2022,Москва,Визаметрик,Полугодовые,"Немецкая полугодовая с 1 поездкой в Германию, а потом пандемия.",Год и больше,"На 1 год под запрашиваемые даты, 90 дней."
12 май 2022,Москва.,ВЦ.,Годовые и больше,"4 немецких шенгена ( деловые поездки, туризм, частные визиты) . Последняя- двухлетний немецкий шенген ( паспорт заканчивался ) , действие визы закончилось  в период пандемии",Год и больше,"Просила 5 лет, дали 5 лет под частные визиты/ деловые поездки"
13 май 2022,Новосибирск,ВЦ визаметрик,Годовые и больше,2 немецких трехлетних шенгена,Год и больше,Опять 3 года
03 июн 2022,Калининград,ВЦ визаметрик,Полугодовые,"Польские рабочие, Италия, туризм",Год и больше,5 лет
10 июн 2022,Санкт-Петербург,ВЦ Визаметрик,Нет,Не было раньше виз.,Даты поездки,Под даты поездки
12 июн 2022,Москва,ВЦ визаметрик,Годовые и больше,2-х летний Шенген испании,Год и больше,1 год
15 июн 2022,Екатеринбург,Визовый центр,Годовые и больше,2-летний и годовой немецкие,Год и больше,3 года
21 июн 2022,Москва,ВЦ,Годовые и больше,"годовая чешская, закончилась в ноябре 2019",Год и больше,1 год
23 июн 2022,Москва,ВЦ VISAMETRIC,Годовые и больше,"1 год Нидерланды, 1 год 3 мес Швеция - закончилась в феврале 2021",Год и больше,2 года
